source_code,concept_name
ug/ml FEU,microgram of fibrinogen equivalent unit per milliliter
hpf,per high power field
.MG/DL,milligram per deciliter
1285,clinical unit
100 MG /DL,milligram per deciliter
mg/gmCr,milligram per gram of creatinine
U/G PROT,unit per gram of total protein
Titer,titer
pmol/L,picomole per liter
7320,billion per liter
13975,billion per liter
mcg/g Creat,microgram per gram of creatinine
ML/MIN/1.73 SQ.M,milliliter per minute per 1.73 square meter
867,second
{M/CMM},million per cubic millimeter
4729,billion per liter
10266,microgram per liter
0.5mm,millimeter
S.D.,score
9432,millimole per 24 hours
mg2/dL2,milligram per deciliter
{GRAMS_PER_DECILIT,gram per deciliter
{MOSM/K},milliosmole per kilogram
10*3UL,thousand per microliter
LIV,lyme index value
{X10S3/MCL},thousand per microliter
ML/L,milliliter per liter
7746,billion per liter
IU/mL,international unit per milliliter
% norm,percent
ML/MIN/{1.73_M2},milliliter per minute per 1.73 square meter
ug/mg creatinine,microgram per milligram of creatinine
15039,billion per liter
x10^9/l,billion per liter
LYMPHS/UL,cells per microliter
mol/L,mole per liter
{%_A1C},percent hemoglobin A1c
X10 3/MCL,thousand per microliter
MINTLUNIT/ML,milli-international unit per milliliter
g.dL,gram per deciliter
X 10E6/MCL,million per microliter
ALBUMIN/G CREAT,per gram of creatinine
mcg/mgCr,microgram per milligram of creatinine
<ML/MIN,milliliter per minute
MEQ/L S*,milliequivalent per liter
<1000 ng/mL,nanogram per milliliter
{Log_IU}/mL,log international unit per milliliter
/LPF /LPF,per low powered field
{APL},IgA phospholipid unit
176,micromole per liter
mg/Time,milligram per time
44,per microliter
14542,nanogram of fibrinogen equivalent unit per milliliter
Microunit/Liter,microunit per liter
NG/24 HRS,nanogram per 24 hours
297,microunit per liter
mL/min/1.73 sq. m,milliliter per minute per 1.73 square meter
MMOLL,millimole
{X1000/MM3},thousand per cubic millimeter
mIU/Ml,milli-international unit per milliliter
12.6-17.7 g/dL,gram per deciliter
ulU/ML,micro-international unit per milliliter
g/dL(%),gram per deciliter
U/mL WB,unit per milliliter
996,per week
gm/24h,gram per 24 hours
% TL HGB,percent hemoglobin
thou/mcL,thousand per microliter
CAE Units,arbitrary unit
M.O.M.,multiple of the median
MG/DL_(CALC),milligram per deciliter calculated
hr,hour
MMOL/LS*,millimole per liter
% LYMPHOCYTE,percent of lymphocytes
{10-3/UL},thousandth per microliter
{UG/DL_MICROGRAM_P,microgram per deciliter
15036,billion per liter
Unit,unit
{index_val},index of reactivity
Index,ratio
103/MM3,thousand per cubic millimeter
237,per 24 hours
15106,billion per liter
X 1000/mm3,thousand per cubic millimeter
LOG COPY/ML,log copies per milliliter
1046,second
MLS/SPECIMEN,million per specimen
MM per hour,millimeter per hour
10*6 U/L,million per liter
EIA Units,EIA unit
MMOLL,millimole per liter
"ML/MIN/1,73M**2",milliliter per minute per 1.73 square meter
EU/DL,Ehrlich unit per deciliter
{G/24HRS},gram per 24 hours
10264,microgram per 24 hours
/Lpf,per low powered field
F,degree Fahrenheit
MIU/ml,milli-international unit per milliliter
X 10 3/UL,thousand per microliter
/100WB,per 100 white blood cells
meters,meter
2153,gram per liter
53,per minute
YR,year
l/min,liter per minute
gm/dL,gram per deciliter
104,counts per minute
{MMOLL},millimole per liter
19191,billion per liter
mL/min/1.73m 2,milliliter per minute per 1.73 square meter
ML/MIN./1.73M*2,milliliter per minute per 1.73 square meter
%_TL__HGB,percent hemoglobin
a day,per 24 hours
449,milliliter per minute per 1.73 square meter
ML/MIN/1.73MM2,milliliter per minute per 1.73 square meter
974,kilo-international unit per liter
13989,billion per liter
mL/min/1.73m??,milliliter per minute per 1.73 square meter
COUNTS/MIN,counts per minute
EV,Elisa unit
{PPB},parts per billion
156,kilogram
MCIU./ML,micro-international unit per milliliter
{MILILITERS_PER_MI,milliliter per minute
MILLION/MCL,million per microliter
K/MCL,thousand per microliter
cells/µL,cells per microliter
/HPF^/HPF^UCUM,per high power field
X10?3/ul,thousand per microliter
7946,billion per liter
15028,billion per liter
cp/mL,copies per milliliter
POS,percent positive
M[IU]/ML,milli-international unit per milliliter
10268,micromole per 24 hours
7782,billion per liter
cells/mcl,cells per microliter
{UG/DL},microgram per deciliter
AU,arbitrary unit
LPF,per low powered field
RU/ML,arbitrary unit per milliliter
{Z-SCORE},score
MPL,IgM phospholipid unit
ML/MIN/1.7M2,milliliter per minute per 1.73 square meter
MILLIGRAMSPERDECIL,milligram per deciliter
17363,billion per liter
4132,billion per liter
ML/MIN/173,milliliter per minute per 1.73 square meter
200,milliliter
mcm,micrometer
129,day
% of WBC,percent of white blood cells
G/DL (,gram per deciliter
15120,billion per liter
ML/MIN/1.73M5,milliliter per minute per 1.73 square meter
MGPR/GCR,milligram per gram of creatinine
kg^in,kilogram
278,per week
1205,per cubic millimeter
x10^3/UL,thousand per microliter
E.U./d,Ehrlich unit per deciliter
ug/Lmicrogram per literUCUM,microgram per liter
u[iU]/mL,micro-international unit per milliliter
mins,minute
cpy/ml,copies per milliliter
microliter,microliter
IIU/ML,international unit per milliliter
130,day per week
ML/MN/1.73,milliliter per minute per 1.73 square meter
LAC ratio,ratio
ML/MIN/1.73 M^2,milliliter per minute per 1.73 square meter
366,millimeter per hour
428,trillion per liter
NG,nanogram
{PERCENT},percent
ng/mL{FEU},nanogram of fibrinogen equivalent unit per milliliter
{MG/_24_H},milligram per 24 hours
X 10^6/uL,million per microliter
10^3/MM^3,thousand per cubic millimeter
mg/gcr,milligram per gram of creatinine
{#},Generic unit for indivisible thing
LBS,pound (US)
ML/MIN/1.73M[2],milliliter per minute per 1.73 square meter
MG/DLF,milligram per deciliter
MCG/ML FEU,microgram of fibrinogen equivalent unit per milliliter
ELIA U/ML,ELISA unit per milliliter
319,milliliter per second
{ML/MIN./1.73},milliliter per minute per 1.73 square meter
{10*6/UL},million per microliter
Thousand/Microlite,thousand per microliter
{MMOL/L},millimole per liter
M/ml,mole per milliliter
mL/min/1.73m,milliliter per minute per 1.73 square meter
{FEMTOLITER},femtoliter
{10^6/UL},million per microliter
GPL UNITS/ML,IgG phospholipid unit per milliliter
MEG/L,milliequivalent per liter
BINDING,percent binding
14944,billion per liter
M[IU]/L,milli-international unit per liter
per HPF,per high power field
RBC/UL,red blood cells per microliter
mmol/Kg,millimole per kilogram
THOUSAND_/UL,thousand per microliter
12051,microgram per gram of hemoglobin
NG/ML^NG/ML^UCUM,nanogram per milliliter
2840,point
g/24 HR,gram per 24 hours
cigarettes per day,per 24 hours
mcg Eq/mL,microgram equivalent per milliliter
daily,per 24 hours
384,millipascal second
[dye'U],dye unit
MCMOL/MIN/G PROTEIN,micromole per minute and gram
X10(3)/MM3,thousand per cubic millimeter
9811,nanogram per milliliter of red blood cells
10e3uL,thousand per microliter
10306,second
3861,gram per liter
10E3/L,thousand per liter
cmH?O,centimeter watercolumn
X10^3/?L,thousand per liter
pmol/RBC,picomole per eight times 10 to the 8th red blood cells
mg/g CREAT,milligram per gram of creatinine
mg/24,milligram per 24 hours
{HOUR},hour
14981,billion per liter
ML/MIN/[1.73_M2],milliliter per minute per 1.73 square meter
390,per high power field
{K/MM_},thousand per cubic millimeter
14998,billion per liter
g/gL,gram per deciliter
deg,degree
{M_units},beta-2 GPI IgM Ab unit
305,billion per liter
L/s,liter per second
 L,liter
% saturation,percent saturation
MM0L/L,millimole per liter
K/mm3,thousand per cubic millimeter
10^9/l,billion per liter
pgmL,picogram per milliliter
10x3-mm3,thousand per cubic millimeter
EOS,percent eosinophils
GM/24 HOURS,gram per 24 hours
ML/MINB/1.73M2,milliliter per minute per 1.73 square meter
mL/Min,milliliter per minute
degrees C,degree Celsius
20684,billion per liter
2372,milliliter per minute per 1.73 square meter
325,degree
PER HIGH POWER FIE,per high power field
GPS U/ML,anti-phosphatidylserine IgG concentration (GPS) unit per milliliter
10*9/l,billion per liter
14936,billion per liter
[APL'U],IgA phospholipid unit
mOsm,milliosmole
106/MM3,million per cubic millimeter
7941,billion per liter
APL unit,IgA phospholipid unit
cp,centipoise
{MMOL/DL},millimole per deciliter
x10E12/L,trillion per liter
MEQ/DAY,milliequivalent per 24 hours
G.DL,gram per deciliter
MG/MGCREAT,milligram per milligram of creatinine
ISR,immune status ratio
1257,per 100 white blood cells
[arb'U],arbitrary unit
ML/MIN.1.73M2,milliliter per minute per 1.73 square meter
15095,billion per liter
gram,gram
{MG/24_HOURS},milligram per 24 hours
MG/G CRE,milligram per gram of creatinine
 U/L,unit per liter
*mcg/mL,microgram per milliliter
MM^MM,cubic millimeter
gm/L,gram per liter
X10.E3/UL,thousand per microliter
10*3/mL,thousand per milliliter
UG/D,microgram per 24 hours
#/lpf,per low powered field
X10(9)/L,billion per liter
Million,million
mL/m,milliliter per minute per 1.73 square meter
14935,billion per liter
tril/L,trillion per liter
14212,billion per liter
ML/MIN 1.72 M2,milliliter per minute per 1.73 square meter
14903,billion per liter
ug/mg creat,microgram per milligram of creatinine
mg/g Creat,milligram per gram of creatinine
10295,nanogram per milliliter
NMOL/L/SEC,nanomole per second and liter
/μL,per microliter
ug/g Creat,microgram per gram of creatinine
ML//MIN 1.73 M2,milliliter per minute per 1.73 square meter
k/mcl,thousand per microliter
ELISA,Elisa unit
mcg/g creat,microgram per gram of creatinine
L/S,liter per second
%A1C_NGSP,percent hemoglobin A1c
75,million per liter
412,ratio
mcg/mg crea,microgram per milligram of creatinine
X 10^3/UL,thousand per microliter
gm%,percent
RU,arbitrary unit
395,per 24 hours
IFA TITR,titer
{X10*3/UL},thousand per microliter
"MI/MIN/1,73MSQ",milliliter per minute per 1.73 square meter
nM BCE/mM creat,bone collagen equivalent per millimole of creatinine
mg/ml,milligram per milliliter
1.00,Generic unit for indivisible thing
/100(WBCS),per 100 white blood cells
1414,milli-international unit per liter
15111,billion per liter
Nanogram/Millilite,nanogram per milliliter
{ERY/UL},erythrocytes per microliter
{/MM3},per cubic millimeter
x10E3/uL,thousand per microliter
MG./DL.,milligram per deciliter
15074,billion per liter
UIL/ML,micro-international unit per liter
ummol/L,micromole per liter
A,year
1072,million per liter
UNIT(S)/L,unit per liter
thous/uL,thousand per microliter
6679,billion per liter
 Mg/dL,milligram per deciliter
"PG/,ML",picogram per milliliter
APL U/mL,IgA phospholipid unit per milliliter
CUBIC MILLIMETER,cubic millimeter
2949,nanomole per hour and milliliter
(MG/DL),milligram per deciliter
ngFEU/mL,nanogram of fibrinogen equivalent unit per milliliter
PER CUBIC MILLIMET,per cubic millimeter
g/period,gram per time
INCHES,inch (US)
%{inhibition},percent inhibition
ku/L,kilounit per liter
15059,billion per liter
14893,billion per liter
{RISK},risk
mg/G CR,milligram per gram of creatinine
pmol/l,picomole per liter
15114,billion per liter
M Units,arbitrary unit per milliliter
2xmonth approx,month
MCG/ML (G),microgram per milliliter
9325,liter
[IU]/mLinternational unit per milliliterUCUM,international unit per milliliter
Wood,wood unit
%Uptake,percent uptake
{^FL},femtoliter
mL,milliliter
1005,liter per second
mg/mg Creatinine,milligram per gram of creatinine
{X10(9)/L},billion per liter
ug/mLFEU,microgram of fibrinogen equivalent unit per milliliter
E.U/dL,Ehrlich unit per deciliter
NG/ML.,nanogram per milliliter
UG/MG{CRE},microgram per milligram of creatinine
mPa/s,millipascal second
15064,billion per liter
NMOL/G CRT,nanomole per gram of creatinine
513,week
MICRO-INT_UNITS,micro-international unit
 U/mL,unit per milliliter
MPL U/mL,IgM phospholipid unit per milliliter
MOSMO/KG,milliosmole per kilogram
U/h,unit per hour
GPL,IgG phospholipid unit
mEg/L,milliequivalent per liter
1321,IgM phospholipid unit per milliliter
2487,microgram per 24 hours
ARUNIT,arbitrary unit
LOG (10) COPIES/ML,log copies per milliliter
g/Dl,gram per deciliter
THOU/L,thousand per liter
GPI IGG UNITS,beta-2 GPI IgG Ab unit
GPL UNIT(S),IgG phospholipid unit
titer,titer
mg/min,milligram per minute
{MCG/DL},microgram per deciliter
ml/min,milliliter per minute
MPL UNITS/ML,IgM phospholipid unit per milliliter
828,milliliter per kilogram
MMLL,millimole
X 10-3,thousand
ng/mg{creat},nanogram per milligram of creatinine
14833,billion per liter
11749,day per week
 g/dL,gram per deciliter
uG/ML,microgram per milliliter
X10(3)UL,thousand per microliter
109,counts per minute
13316,percent
"ML/MIN/1.73,^2",milliliter per minute per 1.73 square meter
X10^3,thousand
47,per year
NMOL BCE,nanomole of bone collagen equivalent
7944,billion per liter
thou/cmm,thousand per cubic millimeter
AIU/ML,international unit per milliliter
HbA1c,percent hemoglobin A1c
{TITER},titer
cfu/mL,colony forming unit per milliliter
MILLION,million
Log (cells/mL),log cells per milliliter
10 6/uL,million per microliter
litre,liter
ERY/ul,erythrocytes per microliter
NANOGRAM/DECILITER,nanogram per deciliter
NMOL/MG CR,nanomole per milligram of creatinine
RNA/mL,copies per milliliter
_/100_WBC'S,per 100 white blood cells
{%TTL_HGB},percent hemoglobin
X10E+12/L,trillion per liter
ML/MIN/1.7M3,milliliter per minute per 1.73 square meter
g/(72.h),gram per hour
Net CPM,counts per minute
1018,million per microliter
4122,negative count
[HPF],per high power field
11922,milligram per 24 hours
10648,millisecond
umol/gCRT,micromole per gram of creatinine
1124,counts per minute
14862,billion per liter
1043,percent hemoglobin
14879,billion per liter
14486,milliosmole per kilogram of H20
THOU/MCL,thousand per microliter
nmol/hr/mg prot,micromole per hour and gram of protein
1149,unit
FEET,foot (US)
/LPF^/LPF^UCUM,per low powered field
10^3/uL,thousand per microliter
MG/MGCR,milligram per milligram of creatinine
20845,billion per liter
INTLUNIT,international unit
MCG/DL^MCG/DL,microgram per deciliter
pG,picogram
8.4%,percent
MicroU/L,microunit per liter
15249,billion per liter
{M.O.M},multiple of the median
MM,millimeter
g/dL (W/V),gram per deciliter
10292,milliosmole per kilogram of H20
MWQ/L,milliequivalent per liter
103/MCL,thousand per microliter
14214,billion per liter
mL/day,milliliter per 24 hours
15088,billion per liter
K/Ul,thousand per microliter
X10 6CUM,million per microliter
{MM/H},millimeter per hour
L,liter
13139,milliliter per minute per 1.73 square meter
{10X3UL},thousand per microliter
183,milligram per liter
MOTILE,percent sperm motility
bpm,per minute
CMofH2O,centimeter watercolumn
GPL unit(s),IgG phospholipid unit
DEGREES,degree
nmol/24 h,nanomole per 24 hours
microgram/g,microgram per gram
umol/l,micromole per liter
CFU/mL,colony forming unit per milliliter
7066,international unit per milliliter
mEq/24 hr,milliequivalent per 24 hours
{X10E+12/L},trillion per liter
portion,Generic unit for indivisible thing
RU/mL,arbitrary unit per milliliter
MIL/ML,million per milliliter
NGFEU/ML,nanogram per milliliter
MMOL/L153,millimole per liter
L/day,liter per 24 hours
1085,milliliter per minute per 1.73 square meter
Br/min.,counts per minute
NG{FEU}/ML,nanogram per milliliter
umol/mol,micromole per mole
hour(s),hour
%/100 WBC,per 100 white blood cells
14845,billion per liter
MMOL/MOL,millimole per mole
NANOMOLES/LITER,nanomole per liter
10285,milliliter per kilogram
MC/MG CREAT,microgram per milligram of creatinine
ml/min/1,milliliter per minute per 1.73 square meter
KU/l,kilounit per liter
CM/S,centimeter per second
MIU/MML,milli-international unit per milliliter
ug/g{Hb},microgram per gram of hemoglobin
211,millimeter per hour
g/12h,gram per 12 hours
M/cu mm,million per cubic millimeter
{EHRLICH\U}/DL,Ehrlich unit per deciliter
MD/DL,milligram per deciliter
X1000000/MM3,million per cubic millimeter
14938,billion per liter
10pw6,million
WBC/UL,cells per microliter
Bethesda unit,Bethesda unit
mmol/volume,millimole per total volume
AU / ML,arbitrary unit per liter
4479,international unit per liter
million/uL,million per microliter
UNITS:MG/DL(CALC),milligram per deciliter calculated
%^^ <sp>,percent
ML/min/1.73m^2,milliliter per minute per 1.73 square meter
mgA/l,milligram per liter
